Filename,Vague Score,Cosine Similarity
Resume_of_ID_556.pdf,8,0.1036
Resume_of_ID_557.pdf,3,0.0636
Resume_of_ID_558.pdf,4,0.169
Resume_of_ID_559.pdf,1,0.0932
Resume_of_ID_56.pdf,0,0.1323
Resume_of_ID_560.pdf,3,0.0822
Resume_of_ID_561.pdf,0,0.1131
Resume_of_ID_562.pdf,3,0.0864
Resume_of_ID_563.pdf,8,0.0767
Resume_of_ID_564.pdf,2,0.0908
Resume_of_ID_565.pdf,4,0.1278
Resume_of_ID_566.pdf,2,0.0885
Resume_of_ID_567.pdf,1,0.1373
Resume_of_ID_568.pdf,1,0.0726
Resume_of_ID_569.pdf,5,0.1387
Resume_of_ID_57.pdf,1,0.1367
Resume_of_ID_570.pdf,4,0.1131
Resume_of_ID_571.pdf,1,0.0681
Resume_of_ID_572.pdf,2,0.1038
Resume_of_ID_573.pdf,7,0.0962
Resume_of_ID_574.pdf,1,0.0896
Resume_of_ID_575.pdf,3,0.0766
Resume_of_ID_576.pdf,1,0.0972
Resume_of_ID_577.pdf,1,0.118
Resume_of_ID_578.pdf,1,0.0456
Resume_of_ID_579.pdf,2,0.0897
Resume_of_ID_58.pdf,1,0.0692
Resume_of_ID_580.pdf,0,0.035
Resume_of_ID_581.pdf,2,0.073
Resume_of_ID_582.pdf,4,0.0716
Resume_of_ID_583.pdf,6,0.1453
Resume_of_ID_584.pdf,1,0.1204
Resume_of_ID_585.pdf,2,0.0803
Resume_of_ID_586.pdf,0,0.0999
Resume_of_ID_587.pdf,1,0.088
Resume_of_ID_588.pdf,1,0.0862
Resume_of_ID_589.pdf,7,0.1177
Resume_of_ID_59.pdf,4,0.0943
Resume_of_ID_590.pdf,2,0.0665
Resume_of_ID_591.pdf,4,0.1392
Resume_of_ID_592.pdf,2,0.0956
Resume_of_ID_593.pdf,4,0.1196
Resume_of_ID_594.pdf,7,0.0853
Resume_of_ID_595.pdf,6,0.1223
Resume_of_ID_596.pdf,4,0.1059
Resume_of_ID_597.pdf,2,0.0958
Resume_of_ID_598.pdf,6,0.1602
Resume_of_ID_599.pdf,3,0.0683
Resume_of_ID_6.pdf,1,0.074
Resume_of_ID_60.pdf,8,0.0975
Resume_of_ID_600.pdf,4,0.0966
Resume_of_ID_601.pdf,8,0.0899
Resume_of_ID_602.pdf,4,0.0965
Resume_of_ID_603.pdf,1,0.0954
Resume_of_ID_604.pdf,0,0.0774
Resume_of_ID_605.pdf,4,0.1046
Resume_of_ID_606.pdf,5,0.1041
Resume_of_ID_607.pdf,0,0.1281
Resume_of_ID_608.pdf,9,0.1493
Resume_of_ID_609.pdf,4,0.1222
Resume_of_ID_61.pdf,0,0.0849
Resume_of_ID_610.pdf,1,0.0686
Resume_of_ID_611.pdf,5,0.1185
Resume_of_ID_612.pdf,3,0.0785
Resume_of_ID_613.pdf,3,0.1389
Resume_of_ID_614.pdf,3,0.161
Resume_of_ID_615.pdf,0,0.0361
Resume_of_ID_616.pdf,9,0.2003
Resume_of_ID_617.pdf,4,0.0655
Resume_of_ID_618.pdf,5,0.1032
Resume_of_ID_619.pdf,0,0.0969
Resume_of_ID_62.pdf,8,0.1031
Resume_of_ID_620.pdf,1,0.0979
Resume_of_ID_621.pdf,0,0.1009
Resume_of_ID_622.pdf,1,0.1165
Resume_of_ID_623.pdf,5,0.0687
Resume_of_ID_624.pdf,3,0.0791
Resume_of_ID_625.pdf,0,0.0839
Resume_of_ID_626.pdf,2,0.0664
Resume_of_ID_627.pdf,3,0.058
Resume_of_ID_628.pdf,2,0.0845
Resume_of_ID_629.pdf,3,0.0727
Resume_of_ID_63.pdf,10,0.1479
Resume_of_ID_630.pdf,2,0.0539
Resume_of_ID_631.pdf,2,0.1152
Resume_of_ID_632.pdf,1,0.0886
Resume_of_ID_633.pdf,0,0.0973
Resume_of_ID_634.pdf,4,0.0613
Resume_of_ID_635.pdf,7,0.09
Resume_of_ID_636.pdf,4,0.1149
Resume_of_ID_637.pdf,1,0.0972
Resume_of_ID_638.pdf,0,0.0803
Resume_of_ID_639.pdf,8,0.1663
Resume_of_ID_64.pdf,1,0.1394
Resume_of_ID_640.pdf,3,0.1097
Resume_of_ID_641.pdf,0,0.0811
Resume_of_ID_642.pdf,1,0.1346
Resume_of_ID_643.pdf,0,0.0714
Resume_of_ID_644.pdf,2,0.0637
Resume_of_ID_645.pdf,6,0.1415
Resume_of_ID_646.pdf,4,0.0953
Resume_of_ID_647.pdf,3,0.0735
Resume_of_ID_648.pdf,0,0.1054
Resume_of_ID_649.pdf,6,0.1506
Resume_of_ID_65.pdf,0,0.15
Resume_of_ID_650.pdf,2,0.1283
Resume_of_ID_651.pdf,5,0.1669
Resume_of_ID_652.pdf,0,0.0465
Resume_of_ID_653.pdf,2,0.0668
Resume_of_ID_654.pdf,5,0.0604
Resume_of_ID_655.pdf,6,0.1305
Resume_of_ID_656.pdf,1,0.0813
Resume_of_ID_657.pdf,1,0.0987
Resume_of_ID_658.pdf,1,0.0864
Resume_of_ID_659.pdf,7,0.0618
Resume_of_ID_66.pdf,3,0.0899
Resume_of_ID_660.pdf,1,0.1062
Resume_of_ID_661.pdf,2,0.0553
Resume_of_ID_662.pdf,7,0.1256
Resume_of_ID_663.pdf,4,0.0991
Resume_of_ID_664.pdf,4,0.103
Resume_of_ID_665.pdf,5,0.094
Resume_of_ID_666.pdf,2,0.0563
Resume_of_ID_667.pdf,4,0.1136
Resume_of_ID_668.pdf,2,0.1125
Resume_of_ID_669.pdf,0,0.0562
